source,output,caption,alt,director,blackmagic,target_kb
"tija usar esta.jpeg","tija-carbono-atascada-corrosion-galvanica","Tija de sillín montada en cuadro de MTB con sillín de celosía impresa en 3D","Tija de sillín montada en cuadro de MTB con sillín de celosía impresa en 3D — BikeLab Studio · Carlos Eduardo Ravello Joo","","","70"
"20260209_123110.jpg","caja-pedalier-bb-cuadro","Caja de pedalier (BB) del cuadro","Caja de pedalier (BB) del cuadro — BikeLab Studio · Carlos Eduardo Ravello Joo","","","70"
"20260209_123833.jpg","eje-biela-pedalier-engrase","Eje de biela/pedalier engrasado durante el montaje en el cuadro","Eje de biela y pedalier engrasado durante el montaje — BikeLab Studio · Carlos Eduardo Ravello Joo","","","70"
"masa (1).dng","maza-buje-interior-nucleo","Interior del buje: alojamiento de rodamientos y núcleo de la maza","Interior del buje con alojamiento de rodamientos y núcleo — BikeLab Studio · Carlos Eduardo Ravello Joo","fincher","1","70"
"masa (2).dng","maza-rueda-banco","Maza y rueda en el banco de trabajo","Maza y rueda en el banco de trabajo — BikeLab Studio · Carlos Eduardo Ravello Joo","fincher","1","70"
"masa (3).dng","maza-buje-alojamiento-rodamiento","Alojamiento de rodamiento del cuerpo de la maza","Alojamiento de rodamiento del cuerpo de la maza — BikeLab Studio · Carlos Eduardo Ravello Joo","fincher","1","70"
"masa rodamientos (1).dng","rodamientos-cartucho-nucleo-maza","Rodamientos de cartucho y núcleo de la maza","Rodamientos de cartucho y núcleo de la maza — BikeLab Studio · Carlos Eduardo Ravello Joo","fincher","1","70"
"masa rodamientos (2).dng","maza-despiece-rodamientos","Despiece de la maza: cuerpo, rodamientos y núcleo","Despiece de la maza con cuerpo, rodamientos y núcleo — BikeLab Studio · Carlos Eduardo Ravello Joo","fincher","1","70"
"masa rodamientos (3).dng","rodamientos-sellos-nucleo-explosion","Rodamientos, sellos y núcleo en vista explotada","Rodamientos, sellos y núcleo en vista explotada — BikeLab Studio · Carlos Eduardo Ravello Joo","fincher","1","70"
"masa y ruedas (1).dng","rueda-maza-servicio","Rueda y maza durante servicio completo","Rueda y maza durante servicio completo — BikeLab Studio · Carlos Eduardo Ravello Joo","fincher","1","70"
"masa y ruedas (2).dng","rueda-maza-banco","Rueda con maza en el banco de trabajo","Rueda con maza en el banco de trabajo — BikeLab Studio · Carlos Eduardo Ravello Joo","fincher","1","70"
